id,edad,ingresos,genero,estado_civil,num_hijos,num_tarjetas,modalidad_pago,hipoteca,prestamos,riesgo
100756,46,59944,M,Casado,1,2,Mensual,Si,0,0
100668,67,59692,F,Casado,1,1,Mensual,Si,0,0
100418,50,59508,M,Casado,1,1,Mensual,Si,1,0
100416,24,59463,M,Casado,0,2,Mensual,Si,1,0
100590,34,59393,F,Casado,0,2,Mensual,Si,0,0
100657,43,59276,M,Casado,1,2,Mensual,Si,1,0
100702,49,59201,M,Casado,0,1,Mensual,Si,0,1
100319,37,59193,F,Casado,1,2,Mensual,Si,1,0
100666,35,76503,M,Casado,1,1,Mensual,Si,1,0
100389,78,59036,M,Casado,1,1,Mensual,Si,1,0
100758,51,58914,M,Casado,0,1,Mensual,Si,1,1
100695,46,58878,F,Casado,1,1,Mensual,Si,0,1
100698,32,58785,F,Casado,0,2,Mensual,Si,0,0
100769,27,58529,M,Casado,0,1,Mensual,Si,0,0
100376,46,99396,F,Casado,0,2,Mensual,Si,0,0
100796,53,58381,M,Casado,1,1,Mensual,Si,0,1
100414,39,58026,M,Casado,0,1,Mensual,Si,0,0
100354,51,57718,M,Casado,1,2,Mensual,Si,1,0
100452,51,57689,M,Casado,1,1,Mensual,Si,1,0
100567,54,57683,F,Casado,1,1,Mensual,Si,1,0
100728,24,57623,M,Casado,1,1,Mensual,Si,1,0
100725,34,57598,F,Casado,1,1,Mensual,Si,1,0
100665,47,57520,F,Casado,1,1,Mensual,Si,0,1
100730,40,57388,F,Casado,0,1,Mensual,Si,0,0
100766,51,57376,M,Casado,0,2,Mensual,Si,1,0
100524,46,57004,F,Casado,1,1,Mensual,Si,0,0
100412,20,56891,M,Casado,1,1,Mensual,Si,1,0
100374,60,56849,M,Casado,1,1,Mensual,Si,1,0
100566,33,56590,M,Casado,0,2,Mensual,Si,0,0
100591,29,56523,M,Casado,1,1,Mensual,Si,0,0
100421,59,56486,M,Casado,0,1,Mensual,Si,1,0
100670,50,56470,M,Casado,0,2,Mensual,Si,0,0
100379,62,56087,M,Casado,1,2,Mensual,Si,1,1
100292,43,74471,F,Casado,0,1,Mensual,Si,1,0
100326,34,55897,M,Casado,1,2,Mensual,Si,0,0
100497,41,55777,F,Casado,1,2,Mensual,Si,0,0
100568,27,55752,M,Casado,0,2,Mensual,Si,1,0
100294,25,55642,F,Casado,1,2,Mensual,Si,0,1
100570,31,55565,M,Casado,1,2,Mensual,Si,0,0
100347,70,55554,F,Casado,0,1,Mensual,Si,0,0
100425,32,55497,M,Casado,1,1,Mensual,Si,1,0
100494,22,55421,M,Casado,0,2,Mensual,Si,0,0
100592,37,55390,F,Casado,0,1,Mensual,Si,0,0
100601,32,55215,M,Casado,0,2,Mensual,Si,0,0
100700,60,55140,M,Casado,1,2,Mensual,Si,0,1
100563,68,55112,M,Casado,1,2,Mensual,Si,1,0
100486,34,54938,M,Casado,0,2,Mensual,Si,0,0
100348,43,54792,M,Casado,1,1,Mensual,Si,0,0
100672,45,54777,M,Casado,1,2,Mensual,Si,1,0
100450,38,54673,F,Casado,1,2,Mensual,Si,1,1
100629,36,54671,M,Casado,0,2,Mensual,Si,0,0
100386,28,54603,F,Casado,1,2,Mensual,Si,1,0
100757,22,54451,M,Casado,0,1,Mensual,Si,1,0
100488,28,54021,M,Casado,1,1,Mensual,Si,1,0
100383,38,54013,F,Casado,0,1,Mensual,Si,0,0
100770,24,53983,F,Casado,1,2,Mensual,Si,0,0
100795,42,53842,F,Casado,0,2,Mensual,Si,0,0
100415,40,53791,M,Casado,0,1,Mensual,Si,1,0
100597,32,53731,M,Casado,0,2,Mensual,Si,1,0
100794,35,53704,M,Casado,1,2,Mensual,Si,1,0
100755,25,53660,F,Casado,1,1,Mensual,Si,1,0
100390,54,53559,F,Casado,1,2,Mensual,Si,0,0
100345,53,53552,F,Casado,0,2,Mensual,Si,1,0
100753,26,53550,M,Casado,1,1,Mensual,Si,1,0
100492,26,53365,M,Casado,0,1,Mensual,Si,0,1
100694,28,53307,M,Casado,0,2,Mensual,Si,1,0
100448,48,53201,M,Casado,0,1,Mensual,Si,0,0
100384,45,53195,M,Casado,1,2,Mensual,Si,1,0
100630,59,53180,F,Casado,1,2,Mensual,Si,0,0
100381,61,53115,F,Casado,0,2,Mensual,Si,0,0
100761,24,74912,M,Casado,1,1,Mensual,Si,0,0
100350,48,52973,M,Casado,1,1,Mensual,Si,0,0
100352,60,52961,F,Casado,1,1,Mensual,Si,1,0
100385,35,52896,M,Casado,0,2,Mensual,Si,1,0
100626,39,52887,M,Casado,0,2,Mensual,Si,0,0
100768,37,52772,M,Casado,1,2,Mensual,Si,1,0
100295,37,52725,M,Casado,0,2,Mensual,Si,0,0
100526,54,52545,F,Casado,1,1,Mensual,Si,0,0
100325,76,52540,F,Casado,0,2,Mensual,Si,0,0
100599,67,52495,F,Casado,1,2,Mensual,Si,1,0
