ID,EDAD,INGRESOS,GENERO,ESTADO_CIVIL,NUM_HIJOS,NUM_TARJETAS,MODALIDAD_PAGO,HIPOTECA,PRESTAMOS,RIESGO
100756,46,59944,m,married,1,2,monthly,y,0,F
100668,67,59692, ,married,1,1,monthly,y,0,F
100418,50,59508,m,married,1,1,monthly,y,1,F
100416,24,59463,m,married,0,2,monthly,y,1,F
100590,34,59393,f,married,0,2,monthly,y,0,F
100657,43,59276,m,married,1,2,monthly,y,1,F
100702,49,59201,m,married,0,1,monthly,y,0,V
100319,37,59193,f,married,1,2,monthly,y,1,F
100666,35,76503,m,married,1,1,monthly,y,1,F
100389,78,59036,m,married,1,1,monthly,y,1,F
100758,51,58914,m,married,0,1,monthly,y,1,V
100695,46,58878,f,married,1,1,monthly,y,0,V
100698,32,58785,f,married,0,2,monthly,y,0,F
100769,27,58529,m,married,0,1,monthly,y,0,F
100376,46,99396,f,married,0,2,monthly,y,0,F
100796,53,58381,m,married,1,1,monthly,y,0,V
100414,39,58026,m,married,0,1,monthly,y,0,F
100354,51,57718,m,married,1,2,monthly,y,1,F
100452,51,57689,m,married,1,1,monthly,y,1,F
100567,54,57683,f,married,1,1,monthly,y,1,F
100728,24,57623,m,married,1,1,monthly,y,1,F
100725,34,57598,f,married,1,1,monthly,y,1,F
100665,47,57520,f,married,1,1,monthly,y,0,V
100730,40,57388,f,married,0,1,monthly,y,0,F
100766,51,57376,m,married,0,2,monthly,y,1,F
100524,46,57004,f,married,1,1,monthly,y,0,F
100412,20,56891,m,married,1,1,monthly,y,1,F
100374,60,56849,m,married,1,1,monthly,y,1,F
100566,33,56590,m,married,0,2,monthly,y,0,F
100591,29,56523,m,married,1,1,monthly,y,0,F
100421,59,56486,m,married,0,1,monthly,y,1,F
100670,50,56470,m,married,0,2,monthly,y,0,F
100379,62,56087,m,married,1,2,monthly,y,1,V
100292,43,74471,f,married,0,1,monthly,y,1,F
100326,34,55897,m,married,1,2,monthly,y,0,F
100497,41,55777,f,married,1,2,monthly,y,0,F
100568,27,55752,m,married,0,2,monthly,y,1,F
100294,25,55642,f,married,1,2,monthly,y,0,V
100570,31,55565,m,married,1,2,monthly,y,0,F
100347,70,55554,f,married,0,1,monthly,y,0,F
100425,32,55497,m,married,1,1,monthly,y,1,F
100494,22,55421,m,married,0,2,monthly,y,0,F
100592,37,55390,f,married,0,1,monthly,y,0,F
100601,32,55215,m,married,0,2,monthly,y,0,F
100700,60,55140,m,married,1,2,monthly,y,0,V
100563,68,55112,m,married,1,2,monthly,y,1,F
100486,34,54938,m,married,0,2,monthly,y,0,F
100348,43,54792,m,married,1,1,monthly,y,0,F
100672,45,54777,m,married,1,2,monthly,y,1,F
100450,38,54673,f,married,1,2,monthly,y,1,V
100629,36,54671,m,married,0,2,monthly,y,0,F
100386,28,54603,f,married,1,2,monthly,y,1,F
100757,22,54451,m,married,0,1,monthly,y,1,F
100488,28,54021,m,married,1,1,monthly,y,1,F
100383,38,54013,f,married,0,1,monthly,y,0,F
100770,24,53983,f,married,1,2,monthly,y,0,F
100795,42,53842,f,married,0,2,monthly,y,0,F
100415,40,53791,m,married,0,1,monthly,y,1,F
100597,32,53731,m,married,0,2,monthly,y,1,F
100794,35,53704,m,married,1,2,monthly,y,1,F
100755,25,53660,f,married,1,1,monthly,y,1,F
100390,54,53559,f,married,1,2,monthly,y,0,F
100345,53,53552,f,married,0,2,monthly,y,1,F
100753,26,53550,m,married,1,1,monthly,y,1,F
100492,26,53365,m,married,0,1,monthly,y,0,V
100694,28,53307,m,married,0,2,monthly,y,1,F
100448,48,53201,m,married,0,1,monthly,y,0,F
100384,45,53195,m,married,1,2,monthly,y,1,F
100630,59,53180,f,married,1,2,monthly,y,0,F
100381,61,53115,f,married,0,2,monthly,y,0,F
100761,24,74912,m,married,1,1,monthly,y,0,F
100350,48,52973,m,married,1,1,monthly,y,0,F
100352,60,52961,f,married,1,1,monthly,y,1,F
100385,35,52896,m,married,0,2,monthly,y,1,F
100626,39,52887,m,married,0,2,monthly,y,0,F
100768,37,52772,m,married,1,2,monthly,y,1,F
100295,37,52725,m,married,0,2,monthly,y,0,F
100526,54,52545,f,married,1,1,monthly,y,0,F
100325,76,52540,f,married,0,2,monthly,y,0,F
100599,67,52495,f,married,1,2,monthly,y,1,F
100603,33,52173,f,married,0,2,monthly,y,0,F
100346,43,52118,m,married,1,2,monthly,y,1,F
100377,30,51945,f,married,1,1,monthly,y,1,F
100727,31,51939,m,married,0,1,monthly,y,0,F
